   2.7644729e-03   9.6527889e-03   4.1466909e-04
   4.7816577e-02   9.0041661e-03   5.0769852e-03
   8.2462814e-02   4.1726043e-03   6.5004818e-03
   1.2086233e-01   8.7435474e-03   4.8887280e-04
   1.6741097e-01   5.0479261e-03   1.8502262e-03
   2.0516047e-01   9.7234208e-03   5.4951597e-03
   2.4072123e-01   8.2762888e-03   8.7572282e-03
   2.8519407e-01   2.1392320e-03   7.2071154e-03
   3.2506323e-01   9.4174427e-03   5.4288095e-03
   3.6707470e-01   8.4586386e-03   3.9793408e-03
   4.0543380e-01   3.0718380e-03   1.2474137e-03
   4.4910325e-01   7.2627551e-03   7.3914748e-03
   4.8057082e-01   6.7860860e-04   3.1789333e-03
   5.2424138e-01   4.0532600e-04   1.0645665e-03
   5.6751541e-01   4.2912320e-03   2.4794986e-03
   6.0690473e-01   8.7385901e-03   9.8629358e-03
   6.4018629e-01   6.0636062e-03   1.6458654e-03
   6.8021619e-01   9.3284470e-03   2.9538344e-03
   7.2687252e-01   3.9936878e-03   6.6009342e-03
   7.6891765e-01   9.3805648e-03   2.2690346e-03
   8.0710564e-01   1.5223923e-03   1.1031347e-03
   8.4712142e-01   9.8435471e-03   4.9362886e-04
   8.8135503e-01   7.7717164e-03   9.3569924e-03
   9.2229793e-01   4.5764328e-03   7.1648077e-03
   9.6040146e-01   3.7920464e-03   3.4844499e-03
   1.0062701e+00   2.3122961e-03   6.5705828e-03
   1.0401835e+00   1.4964602e-03   9.8505142e-03
   1.0807037e+00   7.4251126e-03   9.0461207e-04
   1.1288535e+00   6.3420094e-03   4.7610292e-03
   1.1698083e+00   3.5354006e-03   4.9648290e-03
   1.2079553e+00   5.0841340e-04   3.8624476e-03
   1.2434628e+00   7.4458308e-03   6.1144266e-03
   1.2851781e+00   6.6712052e-03   5.1217224e-03
   1.3276993e+00   3.3913342e-03   7.6858225e-03
   1.3685371e+00   1.2080507e-03   9.1802390e-03
   1.4082324e+00   7.4616491e-03   4.1413343e-03
   1.4434199e+00   8.3216275e-03   7.4480845e-03
   1.4893195e+00   2.8760268e-03   9.2991334e-03
   1.5241018e+00   4.7196611e-03   3.5038108e-03
   1.5618695e+00   9.1982081e-04   6.6979974e-03
   1.6052927e+00   1.4516412e-03   3.0126982e-03
   1.6466282e+00   4.9320435e-03   3.5600197e-03
   1.6825864e+00   2.9475085e-03   4.0801184e-03
   1.7212012e+00   5.1554073e-03   3.3555977e-03
   1.7621980e+00   6.9816040e-03   6.0780569e-03
   1.8025743e+00   4.9099429e-03   8.7834675e-03
   1.8440600e+00   6.7286888e-03   2.5621427e-03
   1.8816480e+00   1.1856512e-03   6.9990309e-03
   1.9264890e+00   7.4481023e-03   7.9109563e-03
   1.9650206e+00   8.5570608e-03   4.5107362e-03
   2.0065370e+00   3.0455288e-04   5.9947408e-03
   2.0404814e+00   5.9405415e-03   5.6752920e-03
   2.0843958e+00   2.9819022e-03   5.0157550e-04
   2.1264058e+00   8.5846019e-03   6.4701044e-03
   2.1610831e+00   5.9419190e-03   3.2603852e-03
   2.2042540e+00   7.1641386e-03   3.5009124e-04
   2.2473476e+00   7.2386834e-03   5.6738883e-03
   2.2858997e+00   5.4860797e-03   1.8085716e-03
   2.3235591e+00   3.6672866e-03   7.5769758e-03
   2.3661023e+00   2.5241458e-04   4.7997268e-04
   2.4013211e+00   5.6750491e-04   8.4785637e-03
   2.4443755e+00   7.5072115e-03   5.5913716e-04
   2.4869417e+00   2.5949376e-03   2.9091606e-03
   2.5298493e+00   5.4216868e-03   5.3411662e-03
   2.5624932e+00   5.6904446e-03   9.5271954e-04
   2.6088284e+00   8.7353974e-03   7.6838603e-03
   2.6400328e+00   3.7236371e-03   5.6661438e-03
   2.6876200e+00   4.1035019e-03   7.3662179e-03
   2.7217689e+00   6.2625101e-03   8.3907460e-03
   2.7690356e+00   4.9268998e-03   6.9819993e-03
   2.8027568e+00   2.2730669e-03   5.1819116e-03
   2.8428072e+00   9.3336294e-03   7.0855764e-04
   2.8879969e+00   2.3050666e-03   1.2661223e-03
   2.9250874e+00   9.4998140e-03   1.5360456e-04
   2.9674173e+00   8.0127525e-03   1.5071200e-03
   3.0098248e+00   6.7939846e-03   6.8608395e-03
   3.0456123e+00   1.4778646e-03   1.6930640e-03
   3.0838816e+00   6.5451242e-03   1.3929313e-03
   3.1266987e+00   9.8629738e-03   8.5548039e-03
   3.1661996e+00   3.0914230e-03   8.5351100e-03
   3.2047215e+00   6.2398888e-03   8.1343059e-03
   3.2484837e+00   1.4269608e-03   1.2124943e-03
   3.2811693e+00   6.1520239e-03   9.8555815e-03
   3.3212569e+00   4.6274012e-03   7.1835469e-03
   3.3613861e+00   9.4838616e-03   3.3004419e-03
   3.4024329e+00   4.9047334e-04   9.4664931e-03
   3.4434229e+00   8.3121001e-03   4.2657105e-03
